,uuid,item_name,tier,starting_bid,item_bytes
87,3ab5dc7760944c27941aa26ee230d65c,Silver Fang,UNCOMMON,290000,H4sIAAAAAAAAACWPzUrDQBSFT9JWkygK4gNM1yLUhVTclbZRoU0gqT87mSQ36WB+ZDIVfaJ5j3kwcYJ3c+75zl3cEwA+HBEAcFy4onCkg8myO7TqNMBI8crHmNp8j2FG8B9FQWHNq97a3wDHheg/a/5jrzadJM/SCS6Mnq94wyu6Z0bnVzezmeV2nRt9t9uLnglFDct5yzJikspOVlRMMTX61uiPNyssEaW63kne9iVJntXEhgSXRnOj6+doGW+3ccTS1zhZeRhHvCGc2TAV9RdJFvK2QoDz9beSfKGUFNlBUe8NFXGSPm1e1sl7uIgeABdH/88ODf8AL84KphABAAA=
89,660c780306cd40c8b5f93700ab176868,Spider Talisman,UNCOMMON,97000,H4sIAAAAAAAAAE2Sz27aQBDGB5K0BlWK1EPVow9pT3VjvGBwpR4QoYkRthPbhMClWuxxvGRtkL1OMO/Q58i1z5AHq7pJeqi00u73zW/+aLRtgBY0WBsAGk1osrjxqwFHo02Vi0YbDgS9PYDWBYvxB6e3paT+tKEd3FWcew85Fgo07RhOkpUxQDMmWq+v6xqJDaIN+lGkUWIlHSQkibEn8y6LzRYLwbBsgSJwJ6oCy5fWChxdU14h/MZ6oi9vUj2+mfCotk2pw0Dnnr3e9u38ul6NbNPOZPxiaE5r6z+2J+i8xxdkki7zq2qVXetT4nO88DtRNrv35ldkGbrMCXm62PuZY/h8GfK1Gy6Iazg7Zz/bO3uXSW7vzsdkuZ4Z3rltOMbVbjlf6Iu5n7rn9oO7TpmM124wsZIb/bucvg1vY1ZuOa1bcDjdFKhI8w2oT499H+MqwlIVKaoxzegtqoLeYa4mxSaDD5KQZ0TvUQ22cslFKeUX+PzqB4zfY5GwMn12VZrHzyX/geqqhncvHO19kvdX2fOjFE+PfOaOPMfxXHU4Go2DwPMXChy6NEN4L4HXfDWknJUZzeX0x+OdKOhQiIKtKoGl8vwP4Di4tM/G/s9wOLUDZ+jKGlUl/RMz6hHTGkSaYcUDrWugrg2IfFk6tToRXXWwnyjQEizDUtBsC8fWaad7ahC1+61rqkMHoAlvzl62AQcAfwG1BIipgwIAAA==
90,c4c48e57b42d4325adc2d48f65fd99bf,Rabbit Helmet,COMMON,690000,H4sIAAAAAAAAAF2Qy07CQBSGT7loqTGYuHM1RhdeglBpKbIDhEDCJUFcm5n2UCf2QqbTRN6EN+h7dOvOrTsfxDiEHatz8p//OzcDoAIaNwBAK0CBe9qdBuV+nEZSM6Aoqa/ByWvEBNIPygLUilAZcQ+HAfUTBf0ZcOzxZB3QTQVKk1igrlQdLvLMGVIR8sgnw1jINMIOyTN6b9qqbuZZa5gGAXlBSXpxlCadfSAHjEKcG7Nu3cKVysaRq/ZIMFFy63e7PXTDudKVj232oxoqf1Djdl3yrL185wnhEkPi0ogwJAJXsfDRu9yBqzwL+vPpdD4jo8FkOlgWoezGQSzg6/tHh9KMhghnyregjHFJRhiEKMGA6uBTCtqVUnCWSkz03RvhdNHt9cbLt30vxaepUq/bpv341ESnRl0Xa5bbdGvMM51am9l2o+VYrtPwdKhIHmIiabiGqlU37fpjkzQ7dpt0pwAFOHqmIfVRXQb/vBRBycABAAA=
91,a5978611db56498985401d7b4176f3d5,Hoe of Greatest Tilling,EPIC,2000000,H4sIAAAAAAAAAB2QT0/CQBDFp6BYaiJHo15Go0dEKITiTbECCQqReibTdlo29A/ZXaJ+Ir+HH8y4dTKn99v3dvc5AE2whAMAVg1qIrZuLDgcl/tCWw7UNaVNOOAi2kA1Fhy/F6Fk2lKYsVWH5lTE/JxRqgz9deAoFmqX0ZcxzUvJtlEbcPXzPTQbiCxTSCjLDywTTEjmGRXxLQYbhgtzYMcy4UgjRRErVcov1CVqA8/+AwaPpLasK++KOVZGvDT5+A+9YCMUCs05RlRgyCg5KWXK8SWcGO/Pd+YvZ2OcLnwbDl4pZzg38rTkKm9ivqRZaazeKIoUHGj5n1rSg9ZShHvD7KocODX+9eJ5PXnzHwJ/FayD2Xw+e52YzP3e8Otu5FLc7d+13YE3aveTUa89intu2+uHLnPUG468xIamFrm5jvIdtLxOd9jpudi9dwe4fAGoQeOJckq5avwPAw0mfaABAAA=
92,3bc26d36911d4fe7aa14e897ab146ff4,[Lvl 49] Rabbit,LEGENDARY,2000000,H4sIAAAAAAAAAKVU227rRBSdtOdwknDpQQLxgsQcc/p06tR3x3lLW7d1Sdw2SXuaIFRN7HEyiW/Y47Yp4hN45w/ygsQ/5AP4CD4EsZ1e4A0B1sjjGa+19tp7tqaOUA1VWB0hVNlAG8yv/FRBL/eTIuaVOtrkZLKJasfMp4chmeSA+qOO6v15EYantzHNqmjD8dFbYhFV06ghypbiiaqqB2LT12VRH3uyqsjeWNUl4J1lSUozzmheQ1VO73iR0XwduopeXpKwoOgXujiRRldTyb86Cb2FY8B60JfCU2eWmk58uRjvO4YTwf/jttFZWH/D6py818OhejIdxefFOLqUOmovpMc92YsubroDWx1Go2h4b+vu/cl0qJyro5nL3CNbG83O74ezS+ZGXdUddCV3NpeHs2k0Ohgu3Jmnjgbt++7BiHVnk/vu4EJ1jxwWXMkWOK+jVz7L05AsauhFJ8loFTa/RJ+sls1DkkUsnuAzymHv09XSPKYk5NMWXi3JO81ab/VTSv2HHavRBNzHq6VxTNJ0gQ8pELcBA+OkiFKcJpwlcY5JmCd4wm7omqZoDR19BF8Ay0u1Bqh8ASpP8d+z3E8ivJckOUdfP+jBOMpIzHOQUN/JWsP8/edf8SOj9KA+sABXyn0GcnYQMI/RmD/DHrWe4sBrbe82yeals1J1GwkPzgKSc5rh2ykLKU5ivEiKDLM8JPHar1BmTUMfO5xGZTn0J1X7Ln20/lVpGrLO12nr0jbMZko5pgAJkgx9+JeZUvMNLKHjJtBjOeYJ7tAbGmJdKuWpqjaUbfTbaqmsluFqGeH/PgX/W+FfT1mZgmzsSEazoUHpdmGpNeeQ9Nv1mdAem0y56IXMm5epE9/HfMpyXJaLJ2Xn0fUJlOuIxsUboG6BEETo2Ee2e9DuDavohUsiij4HyW87NyHWrO8grtEj4zHj0Plb9h3PSJvzjI0LTvMqegV6Thwkldc/CHyRUqEl9Np7e85A2BGIx+HwhFYA7Ut3BDg0oaVrsmo1G6plNhULHmVHgNshA9qzC2BO4fopVZ+5U+iUslEAd2YPrp2B3b0+bPe6jnt03f/G6XSu905P+4Nr+8zZB74HTba4yKkvtKQdoSgYfAjE0tTACAJRlw1T1HQSiONANkVT1gJdNq1AVizgFjH7vqDOmuF7ptVUJFFq0kDUZKKJY0U3RGJIwdhQNFW3tEe36/Lvl9V/9Pxjtbxb0SbYhbKWFspL858dVFGNs4jmnEQp2rJ2ZW1XUbHW0kzc7iK0gT44IBGZULSJ0J/dmoamywUAAA==
94,52243489cdc5470a979c5580f8ded95f,Uncommon Party Hat,UNCOMMON,80000,H4sIAAAAAAAAAF1U3W6jRhQeJ7tdxyu1VaSqatWL2dXedb0LJrbj3jmOY+MN2PH6D26sAQYYZ4axmCEEv0OfI++RZ+lzVB2IW7VFIOB83/nOd84MNAA4AzXSAADUTsAJCWq/18DrAc8SWWuAU4miM/AKJ34MyuMUnI1JgG8oioR6/bMBGl/vM0qneYLTOjgxA/DBDzttbPT8Zqijy6aBO6jZw77XbBkXYdcIQy0IQpU3S/kep5JgcQbqEj/KLMWislEHr1eIZrj2B855ZA4mGlrr1DfmsbfpE/OaR9bCaVsH/9He+W1rt9Rskn8xB33ijycPLqPCXdJ7k/Q7KndnjczcZXPiLibMPiw1l5m6w+4Mezeh04WZT9crZrecfDowxYD0IzO5KryWu/dGq6mj6h51vjjr9rWz7ikvFrntV74OaB1kzmau+2z11d3c6Ggzoe7AjKbkSvOTFT3yNHcTa4HC/KLCulUd5XepycmC/CdW8pVeXvVpMpU37ndui96/NNoSrdvUMSaxm9xlHltpt8ac4nHpY/lgHWJmLUzNPlztrIOjO7sJs9bOwTlEuTtyHp2Fk9u7SJ+Ohm13dKN6n+/ca5c6bJk7Bxrbo2FLsS/skdOy2F1hrSc7lxxn8+JPupt5rHI15+v/vauL6Q/uaCWOczt4IyrNiB/xq94L9+Ue3u17asUb4E1AxJ6iQu21W57iugqeg/Pnp8sBT0TGcAB5AjOBVfzd81NXnTMsIZGYCeijBHqcCwn3WApIkorygFLCMwFzVAjoZUew5PKEFuC9osScBlCvVCCSEEFJGIaCQz9Wchg0FCcnAtPinar7/qVuPwgE3CO1cX2KBWRI+jFJIljwLAWw4vi/lnefU55CySukrA5REoCfFVIGlGr4EQY4RBmVZb7k4I3CUhx8Aj9VMpfDgEjkUaxaguNiTx4xBW9VnHLPU5/Np39M4TmJYgl9Svz7clBVRTU2xhMcgF8UoSyvrETkQampx5iIqu+ysR+fn9DzE13ag6llTW04Gy6guRhadfDKRgyDHxS+THxeysGZ6ryAYyTVon03fJQp6kuZEjVgLE7B2xSFIcXbAqNUfcgf66BxjORqWb4vw1tD07aCIUq3er3834DzvytvZ/35wtmO+wtVOssU9KGjhUav2203u6h90bzQtbCJul672dEDr6tj1OmgVh2clQsnJGJ78G3vs/G5ZUD9t3YHziwATsA314ihCKt/F/gLqsyAQ+0EAAA=
95,451762b991be49c4b0ba2b90b0f02b35,Glacite Helmet,EPIC,18999,H4sIAAAAAAAAAFVRTW/TQBCdpAUSHwhwgFu1FQgVVSGu49hObiF1k0oJQmpuCKFNPHZWWtvR7rofPwSp/8A3zpz9U/pDEOMWInrZnXnz3pt9WgugDQ1hAUCjCU0Rwc8GPJnkRWYaFuwZnuxBeyYiPJM80cT6bcGzSOit5Ddt2J/nCluEduBVVfqnGGOmccSqkh/7Nrwg7GKLGD0gJza8JmSpCmSPqAN4Q/hCZCJL2GPBARXBV5re/fpB1be/bXB3e1u3tPqoKr2zQkp2gYZ9yrNCj1h4vUVlGDmiIoV/ZPfcD/CeqqnimdGEeccOWbL/l9bMOFdwQDfy9YblMbvJC8XSB5LES5T6I+08rGNsdilqIXHNRmgmDKZMaHhLWJQXK0m+VxshkeUZ4/+shJY8i8ipllKQ5U665hlbIVNIL0kwOoSXVTmoShl+OZ+wWThfhMsW7H/mKd5PppKvScdmKFM0YEEnvDaKj41RYlUY1K37T30+nY8n58vw+86hKAh+148c1xvYQdcbRlHXtf24G7gOdvuInuMO+8NV7LagbUSK2vB0C52g57g9p8/8ER3jBUATnp7ylCdIaeAPXpBEO08CAAA=
96,2226f0ff566e443f85598cfa7bc62bd4,[Lvl 52] Enderman,EPIC,2499999,H4sIAAAAAAAAALVU227jVBQ9aWeYNAgBD2hGiIczVitA1K3vSSrxEJK0dRW7ncS9TBAandjbiRNfgn2c1kV8At+RH+AL8gF8EmKftEI88gCSpXPZe6+91/LSaRCyR2pRgxBS2yE7UVD7rUZedrMy5bUG2eVsukv2zqMATmM2LTDrzwZpjBZlHF/ep5DXyY4dkH2jafmBoeqyobY0WdfVQG4ZZigbpmopLd00W7qKdVd5toScR1DskTqHB17mUGxb18nLGxaXQH6H6kIZ382U4O4i9ivbwrM3UuJLe75s2ulNNenalp1g/LxjDar2P3JNzm7N+L1+MRun78pJcqMM9GEM50PVT65XbnIzez/31fHt6cy9dczx/GLu9tyZc/aucjQ3GZ+5sfN4k7hnw8SdO9XYWxiOd33v9PqG63Ue3Uf/8bKHcc2uxvPO4+Ut5o8u2uGd8j0yaJBXQVQsY1btkReDLIc6Xn5JPtmsW90smTBOr4Dj1evNutnNI057LGFTOKGbtf+d3j7A0MebtdVPA8gjlhIJ8/Dz2AIwhanmkXWAm2YMRUGDbS35As9hniUU0oAmWVpwyIsjRPockTyIYZnlnI7YalWRr57wfijDsKB8BtTLWVokUVFEWUoOMMQmURyJf0OnGOJROhWNNUt0vQe2xLQ3uH3qTcMsp2ZBs5SWBYieCGGdQxxQm0MiaLV79ywPqVfmPAY6mkGcoAKCl4OknoZYAv8aQYSTaJQkZQqUZ0K05iLN/MWE+QuBjX3ZN9qxqnwrVKRdlgYVvS4gwNhbTEZfTXMhDM/oAFYQU1MXI4DRPNIPyB+btbZZx5t1Qv/jJfx/YJ+XXFDQ1EO1aR6pKO+xYGQskPT+9m/CMJrOuOzHkb8Q1FkQoKpRIWQVOqINoMrKfHtOIC3fCqNu1iZ26F/Z3Tp54bIEtp78cbBC1bSfsKW5NWGCJmyQT/sPPGcdzvNoUnIo6uQVgtlpmNXILxKvliCdSH231x86HVc6lJjPoxXehSwu4FCCh6V0Yip6ExkoTcOw1Lahtw4ltFkuCnEILJrh8yIg/y5DrwTCRpjSu+0MTz9410Nv0P8wOu8PnL6HJb6wgHCAdKIdSmUZ4UZS9JauKCyUVVRMNpiuyhNzYsowUbRAtcBQ2grWlmn0cwm2qPAD0wiVpirrrWZLNnRmyBMVWrIFlmkB+NbEaj8PuNW6K6R+HvPXunguye5V30MhxQhk/99MUCd7PEqg4CxZks/ax6p+rOlUVU80jXYcQnbIR09vA9kl5C+ZfoYfnwUAAA==
97,aadd445b81cc4b248aedbe63eea5bad6,⚚ Ancient Shadow Assassin Chestplate ✪✪✪✪✪,MYTHIC,29990000,H4sIAAAAAAAAAHVU724iNxAfQpIjNL3cC5xqXa9SEBfCblgW8qESISRQXf4ocFdVVbUyuwNss9jI9l6aj32HfqhOrdRvkfoYeZQ8SNXxsiTXk4rQ2h7/fr8Zz4xdBtiCQlwGgMIarMVRoVqAja5MhSmUoWj4tABfvBNjhfyajxMsFGGrH0d4kvCpJtI/ZXgWxXqR8NstWH8rFZbI+hK+ur/zT5ErNgzJdsju76K2e0BDa9f1XKcCDgGGRqGYmpndDqu+R0N7t3rgVSx8t+pXMnzVdfxao1GBPaJ0VWxYd8ZFiEuW432zpNFkhXdrNM88ZPBjPufTHO45tRXBbawITsOvtVtEcYnSR54sQ+LVg7ZPI+5WG/XKkrSKyXnjuAdZVNbNMU5QaFySnGZrSXI/JzX8Rs0hykt79gVitCS0aq08cNpuVqBK2wNhMEniKeYH5VU3T4/r5Wq+V/Mq8OoxZHaFBM8l/yO4Y5k/Uk4fPv5Gs5+oQj6t7u+S5feIi2s2GNDWG4s8VfKG5N6v1pdKGgxNLAV7b/21r/Dn9AMKbpANHlGjmVRCk8yA5OkIzZM0SdgQDTuSItWHbDjjkbxhHa251rEgjr9b38/T0ZVJQj6YmSHTGVAzObFL+Jq2UeA8Rs1uZcquY9KNRUgtSTJTa1OZRpTVmU2kymQUarPSsFmKUjFFOsPNLE6Q3VBzWraZxZppNLUMk3XUw5+/slVr2ijxA6rbzC2dzBouBKPq4EIqc8hOFRdGL3uxTlR4TdNP6Tae+7uxU7cLjaEUka6R0gtKWkeEMYo8RVkEj3LUSDatD7//xT7pYuu/TbAFWtGwyw0P5XxsCX5CgSZW+dtVca/5/Z3FPZX67IdRf9Blx+/OT3sX56zb7w1Hl287ox574hRhI5SJVKQEJVg/53OEftY9H9kq4M+L2Z1RtukVoJag0j/88ff/faEMO71fjOIdY1Q8Tg3qIuwoKoa5DdLFVPEI7cNCD82LmTTBQhpuZBDaF4nM5TKsT3GuS1DqXpwddUZBHdZPBue9LXieikSG1xgFOpFG23eo8IQqwfZqGpAAbH7XGV72rgiynTdGEBucF0h4LqN4EqOCZ3x52iJ8mUcWZDkm5Y2SfSzh1XDUubrqHQfDfuf44vugMxzSf3AePCW2DNt0ienFMnOSosNumuymkEjRCicmnlPagjFdQrKtFaGsHu8XGdaJMc1upHVLu4vH62gNtkJpSqG8rjejujuJ/D0vavh7jbbH98bNtr83cbyw6TXdg0nULsEWuaNS8fkCnjf3W/uuyxqHbot1zsg3bOZdRr9/AQFn4Q0aBgAA
98,626f19bf52a846f3b5ff071e73e5ca38,Silver Fang,UNCOMMON,290000,H4sIAAAAAAAAACWPzUrDQBSFT9JWkygK4gNM1yLUhVTclbZRoU0gqT87mSQ36WB+ZDIVfaJ5j3kwcYJ3c+75zl3cEwA+HBEAcFy4onCkg8myO7TqNMBI8crHmNp8j2FG8B9FQWHNq97a3wDHheg/a/5jrzadJM/SCS6Mnq94wyu6Z0bnVzezmeV2nRt9t9uLnglFDct5yzJikspOVlRMMTX61uiPNyssEaW63kne9iVJntXEhgSXRnOj6+doGW+3ccTS1zhZeRhHvCGc2TAV9RdJFvK2QoDz9beSfKGUFNlBUe8NFXGSPm1e1sl7uIgeABdH/88ODf8AL84KphABAAA=
100,8e55be38a3ed4db78c0c8dca8dbec402,Spider Talisman,UNCOMMON,97000,H4sIAAAAAAAAAE2Sy26bQBSGj51LsVUpUhdVlizSrkqDGXyr1IXluAmWgQRwHHtTDeZgxhmwBUNi/A59jmz7DHmwqpOki0ojjf7/fOeiM9MEaECNNQGgVoc6i2q/anA03JSZqDXhQNDVATSuWIQ/OF0VkvrThKZ/X3LuPmaYK1C3IjiLQ6OHnYho7a6uayQyiNbrLpcaJf24hYTEEbZl3nW+2WIuGBYNUATuRJlj8dpagaNbykuE31iN9cVdokd3Y76srI7Uga9z11pvu1Z2W4VDq2OlMn416Eyq/n9sW9BZm8/JOFlkN2WY3uoT4nG88lrLdPrgzm7IInCYHfBkvvdS2/D4IuBrJ5gTx7B39n66t/cOk9zemY3IYj013EvLsI2b3WI21+czL3EurUdnnTAZrxx/3I/v9O9y+ia8i1ix5bRqwOFkk6MizWNQn5+6HkblEgtVJKhGNKUrVAW9x0yN800KHyUhz5A+oOpv5ZLzQsov8PnN9xl/wDxmRfLiqjSLXkr+A9WwgvevHG1/kvdX2fNUiucnPnWGrm27jjoYDke+73pzBQ4dmiJ8kMBbvhpQzoqUZnL6k9FO5HQgRM7CUmChvPwDOPGvrYuR9zMYTCzfHjiyRllK/0zv9jAyzVjDnnxsEwlqodlva0tKKVK9ZRAjVKAhWIqFoOkWTvrnLfPcIKr5zeypAxugDscXr9uAA4C/yg8+4YMCAAA=
101,e05e4ad1f2ab4480a81cd3d57850fd3d,Ancient Terror Leggings,LEGENDARY,1099999,H4sIAAAAAAAAAG1UX2/jRBCfNO1d4kP0gBeEECzcHbTcldpuUid9C21II/V6p7QgIXSq1vbYsWp7o90N0EfeeEJC4gEhTuIBqd+j34CvkA+CmPWaXHoiUvaPZ+Y3v5n97ToAbWhkDgA01mAtixtPGrBxKOalbjjQ1DxtwL2vylAiv+Rhjo0mtI+zGL/Meaoo6B8H7saZmuX8qg3rJ0Jii75+Cu/fXAdnWmKZ6ukBu7mOHvtdmvpbNG/DR2Q9lJlmh1NeRmgdPP+R9aDFissRL3hau/Tc2mXPJZf3yOUYeW4z8Md+L7DWwNqOMMFSoTX2/KXtvuE2Q4ytxfOB5mBcaszzLMWaEH/F2N2GD2jZ+5b+i99/pfHFa1uq+R75jqT4Xk/Z1/AxAY4kL7WqkAKDFC1e/sUsX7J+DpsU8FwKjZHORElBD24H+a6ZFi9/YnUhVRTAuzfX4UDyaFoKNkGVKW16yMZjeHQbYG8l1lTIU56VSsNbtCa7mtE5SlWhvkmYT3nJ2XMhcjaGh6tIIVFZ/PEzW+1QzYUo984zlBizL0Q5Vwfs+CqWnNHRZ5fIttzdznZV19k8ilCpZJ4zLqlLbJoRdmpSmNZ48AmN5EfFRJdMJPRx/xbU4sdfqpxNGuEzGobUgf/zYkuUgl+igi3aX4m5tHkVS/Irk3GvklKQcKVRPmG8jOFD2sd0PlaN1l6QollcSbDOvU3DwJJ2l7kUq1KEVFiSSTRdi314h0bywB80MbTpaxBzUieCjsVjlitPiIYB7ZjYgBpQCm0AAnNoWZkybj1N10nA/UEZZUjNq9r+ut48I9zFb3+ylRtkRN4nt5nNc8gJTRRhlS7H7zCvtbV/c52fDEfD06PB5BtGq9H4dHTWhI1I5ELCiwd/t2D9lBdo7tj+fzTOkcqT7ATTlMgqcGBzaMoeaDqYcK5RtaBViDhLSC1wl9swBxy+dKCXpSAJXsxIguY5asLb3Mr8Qi5lToY1aJmHCjbPh5PJs8nFK4rtUCh1oU0GinfgDVIqPTC6oFQEfyetrifZNprgzJZXz3wgzPX5nFAfdrruXtfz+jtdP453Ot2wv9PzQ3cnCRMPwxg9P45a0NZZgUSpmMH9zq7f2/V95vkHbsAGTw3FO3XT6fcvxBERMWMFAAA=
105,9cfa08f925b84508a10cf6ec5924e2f2,Haste Ring,RARE,196000,H4sIAAAAAAAAAE1Ry27aQBS9PNIaS1U2/QBLzdaNHxhwpSwQEDDCQzDkgTfVjD0Gm7FB9jjB/EO/g22/gQ+rOkk3Xd7zukc6MkALarEMALU61OOw9qsGV4N9mfGaDA2ONw1oTeKQ3jO8KYTqjwzyclcyNn/LaC5B3QnhJjCIqRm2pZrYDFQzIKZqtyNTtaJe1+6S0CbYFL6HfH+gOY9p0QKJ0yMvc1p8vJbg6gmzksJvWk01/2WrhS9TFlROR9yrpcbmTnLoOtlTRQZOx0kFP+l3ZpX9n9bi+Nlia3O69bNFSdInbWZ6jE48PUgfX13DrVA6OvrPruUmbIfGzhENFxVK/ASt/K2fCG7Ituv0Pp2vUIpSp0KnRRudpsl85e9c4/GExihGhmvOV2vdyXQ7WtzdifYyfA7j4sBw1YLmbJ9TSYBN+HY5d8fxKy2UyxlPcMGp4ghIifb5O6Jb4vgQFTTYZ2GhvG1pppCc4l2cbRScVQph+2D3XaR9vZzty5l5fW+k9AeD0XI599YSNBFOKXwR5L98TxhFnevRkee4z3kek5LTQnofFuRJf7ka/fQcNBbOshTQDY06NiEdTSwV9dR2z9JVYhiBGkURDSOjp3e7RIIWj1NacJwe4Nq4tW4NU9H1H7qmPLgAdfg0xCneUGgA/AUq8+glTwIAAA==
106,a4dc34257874425c84324f01a7189e68,[Lvl 77] Chicken,LEGENDARY,15000000,H4sIAAAAAAAAAM1UzW7qRhQeknt7AamN2kW7qdSpm6yKif9/skNAArlgEi6BQNXFYI9/wthQe5zEqfoIfQ62fQaeoM/QB6l6TOhVV1WXlSyNz5nzfeec78xMHaEaqkR1hFDlCB1FXuXXCnrbXucJr9TRMSfBMar1Io9eMhJkEPVnHdU/rHLGRk8JTavoqO+hU8+XiEJdQzRdSkRVVhXRdl1fVHTLJqptyvaSAO4mXW9oyiOa1VCV02eepzTbp66it1PCcop+o8W1tLgPJe/+mrlF3wB78kFio/7Dxuwn02LZ7hv9GPZ7LWNQ2P+I1TmZ6WyuXoeL5DZfxlNpoI4Z7Y1lN757dJT5i6PcysOH8cNQmbJFp6sOZw4bTm71USdQF7Pu8+Jqypyr6Wr4stJHk5bkvPTVReeuGE4CxZnMtdHV9GExcaL5bKg6s7vIv5dtqL6O3nlRtmGkqKE3g3VKq+D8Cn2221qXJI2jJMA3lIPvi93W7FHCeHiBd1vyvaxr4P10tzUGURByfEkh7BsIev3G1MtdmmGfMIY9EpOA4mWBTva7RLWa+hn8NssKgKIbBBlPCfruFfw+YqzM7IaRu6JJhkOSYVKmNc0z9DWsEOSGJHEp5mvswWgwSTANguZrpcawrKnA7QPB38QHG0Nf0Rp4n9bpqqRV1KZ8hoRXYp9knKb4KYwYxesEF+s8xVHGSOKV9GWPcBgCGH9WZh/QR8qwaZWyUEs5Q7/vtspuy3bbGP+/Fv/ft9OyAcVUG6YsNQ0Q8RxsVVVX0PTpXj86LmUVXQYqlq0Tz8M8jDK8oRxs9DmE7NUq7Zgm+bcAhZEDGRt0r7pOpzWeV9Ebh8QUfQmUPwweQTrzR8hsHGYDJ/Kk+wyHocV5Gi1zTrMqegeE/cRfoz9+FnixocKF0O712++7jtAQiMujR3DBUctoQ6DPG+FCs2TT0qANSbFs27bkhgBXNwXcxzoAGcLbUNJ+xLow4+Iuo55wITWEPI/gR6CyaivE0ERqu5qoubIsLl1dEonmK16ZxtdNIMuT6Kec9kvE0vUsTdNU0TR0uUR4oq1ZS1FTlr5PTJV4vnpIv1e0XQp6KOKXavmSoeOb7gSUKktAp/+lgiqq8SimGSfxBp3Y57J2rqhYAyVwa4jQEfqks7+F6BihvwDLdjNvOQUAAA==
108,dfeb6b100ce84bb9a0f10fe603f70e28,◆ Wake Rune I,LEGENDARY,10000,H4sIAAAAAAAAAD1SS3LaQBBtfjGoUpWqVBZeZDFOZUuVEAbDEgPGcpCw+Uu7QWpgxEgi0sggDpBd1jkCF8gJOEoOksrIi8xmql+/ftWvuxWACuSYAgC5POSZm/uZg1I3TAKRU6Ag6KYCRQycLWSvAJVH5uIDp5tYhn8VUCa7hPPRIcCoDHndha81x6Goac3qWnVa1foa69V2vb2u1lY1bKiaRpurO1n3HIV7jATDuAJlgUeRRBi/tVGG0pzyBOE3pk+qvdyq7vKJO6nelPF0ovKR7u3v9GCerrp6U/dl/vH+NGKtV3cwv3Uf56m9NJLVgif2wkytha0O/QZ3u+3/WsPTrm5qxtH2jYZx0o+mP2uY/otqnOae7e00w58djalzsgezW7v3sDW8l4blWarZ2zTMwUvd8Ky66c+ZJTmGb3t2b6bZU4etl7W2dKDAlcviPaepnN0wjLD8Bn66nFtj/J4waZRwfEVOai24kuh9eMjGeXM531lhEhEaRRKRHxKHcp8FG3KgrxjfSNIXSers9zwlYstiEiUBEhGSVVYQRmSdxAifJUccQolvUGxRCgrJRjJOAubAe5l9RhdjQXmmeH05Ny9nPuwP+mavM7ZIdzQx+lO9W4aiSX2Ej5dz+8+vH2RBd28aSHRp50P/KCLaESJiq0RkuytlzcQFKC463/rZJqGcXRQUxzNTxnl416M+3aA8I/gH+85ITngCAAA=
109,69b1d58e8ae549418d5896179cde8437,Silver Fang,UNCOMMON,290000,H4sIAAAAAAAAACWPzUrDQBSFT9JWkygK4gNM1yLUhVTclbZRoU0gqT87mSQ36WB+ZDIVfaJ5j3kwcYJ3c+75zl3cEwA+HBEAcFy4onCkg8myO7TqNMBI8crHmNp8j2FG8B9FQWHNq97a3wDHheg/a/5jrzadJM/SCS6Mnq94wyu6Z0bnVzezmeV2nRt9t9uLnglFDct5yzJikspOVlRMMTX61uiPNyssEaW63kne9iVJntXEhgSXRnOj6+doGW+3ccTS1zhZeRhHvCGc2TAV9RdJFvK2QoDz9beSfKGUFNlBUe8NFXGSPm1e1sl7uIgeABdH/88ODf8AL84KphABAAA=
110,7e250a791e7f498bbbf9dea56246e427,Spider Talisman,UNCOMMON,97000,H4sIAAAAAAAAAE2Sy26bQBSGj51LsVUpUhdVlizSrkpDGC52pS4sx42xDCSA49ibamCGgDNgCwbH+B36HNn2GfJgVSdJF5VGOvr/852LjqYL0IFW1gWAVhvaGWn9asHRcF0XvNWFA47vD6Azzgj9wfB9Jag/XegGDzVj3mNBSwnaNoGzJNJ61CRIMSxVVRDRkNKz4ljBqJ9cUIQSQg1Rd12uN7TkGa06IHG643VJq9fREhzdYlZT+E2bibq8S1VyN2FxY5tCh4HKPHu1sezitomGtmnnIj8emNOm/x9rcDw32AJN0mVxU0f5rTpFPqNj/yLOZ1tvfoOWoZs5IUsXez93NJ8tQ7ZywwVyNWfn7Gd7Z+9mgtu78xFarmaad2VrjnazW84X6mLup+6V/eiu0kzkGzeY9JM79bvYvgvvSFZtGG46cDhdl1QS5jHIz0+WT0kd00rmKZUJzvE9lTl+oIWclOscPgpCvCHeUjnYiCOXlZBf4PObH2RsS8skq9IXV8YFeWn5D5SjBt6/ctj4JOJXMfNUiOcnNnOHnuN4rjwYDkdB4PkLCQ5dnFP4IIC3ejnELKtyXIjtT0Y7XuIB52UW1ZxW0ss/gJPg2r4c+T/DwdQOnIEretS18M8sC/VN3UgUMzKIosexofRIT1dIgjSk9iJLNUwJOjzLacVxvoGT/vmFfq4hWf+m6/LAAWjD8eXrNeAA4C/D03ZFgwIAAA==
